"rt","stimulus","button_pressed","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","ppt_race","ppt_gender","url","first_guess","correct","key_press","responses","image_type","phrase_type","test_part","response","stimulus1","stimulus2","question_type","survey_item"
"12686.799999952316","Welcome to the experiment. Press Continue to begin.","0","html-button-response","0","12703","0.0-0.0","54742","List2A","white","man","","","","","","","","","","","","",""
"5166.900000095367","","","external-html","1","23289","0.0-1.0","54742","List2A","white","man","consent.html","","","","","","","","","","","",""
"1569.8999999761581","<p>On the next page, you will see portraits of 8 people and their names.</p><p>Your first task is to take a few minutes to memorise the names of these people.</p><p>You will have to recall their names during the rest of the experiment, so it is</p><p>essential that you try to memorise these people and their names as best as you can.</p><br><p><strong>You will then be tested on your memory of these names and portraits.</strong></p><br><p>The experiment will start after you have completed this memory test.</p><br><p>Ready?</p>","0","html-button-response","2","24864","0.0-2.0","54742","List2A","white","man","","","","","","","","","","","","",""
"2571","<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>","0","html-button-response","3","28442","0.0-3.0-0.0","54742","List2A","white","man","","","","","","","","","","","","",""
"15346.5","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","0","html-button-response","4","44796","0.0-3.0-1.0","54742","List2A","white","man","","true","3","","","","","","","","","",""
"1354.2999999523163","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","5","html-button-response","5","47173","0.0-3.0-3.0-0.0","54742","List2A","white","man","","false","3","","","","","","","","","",""
"null","INCORRECT","","html-keyboard-response","6","48692","0.0-3.0-3.0-2.0-0.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"21575.5","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","7","70281","0.0-3.0-4.0","54742","List2A","white","man","","true","2","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","8","71888","0.0-3.0-5.0-0.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"3925.2999999523163","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","9","75820","0.0-3.0-7.0","54742","List2A","white","man","","true","0","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","10","77330","0.0-3.0-8.0-0.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"3258.5","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","11","80601","0.0-3.0-10.0","54742","List2A","white","man","","true","6","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","12","82109","0.0-3.0-11.0-0.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"3209.2999999523163","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","13","85328","0.0-3.0-13.0","54742","List2A","white","man","","true","5","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","14","86834","0.0-3.0-14.0-0.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"5043.100000023842","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","15","91884","0.0-3.0-16.0","54742","List2A","white","man","","true","4","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","16","93391","0.0-3.0-17.0-0.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"3166","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","17","96568","0.0-3.0-19.0","54742","List2A","white","man","","true","7","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","18","98078","0.0-3.0-20.0-0.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"3488.7000000476837","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","3","html-button-response","19","101575","0.0-3.0-22.0","54742","List2A","white","man","","true","1","","","","","","","","","",""
"1423.7999999523163","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","20","104014","0.0-3.0-24.0-0.0","54742","List2A","white","man","","false","1","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","21","105519","0.0-3.0-24.0-1.0-0.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"1692.8999999761581","<p>You got 6 out of 8 right first time. Press Continue.</p>","0","html-button-response","22","107224","0.0-3.0-25.0","54742","List2A","white","man","","","","","","","","","","","","",""
"2155.399999976158","As you did not score 100%, the memory game will repeat. Press Continue.","0","html-button-response","23","110388","0.0-3.0-26.0-0.0","54742","List2A","white","man","","","","","","","","","","","","",""
"3268.7000000476837","<img src='img/portrait_matrix_list2.jpg' style='width:900px;height:500px;''></img><p>If you have memorised all the portraits and names and are ready to start, press Continue.</p><p><strong>Please note: Your memory of these faces will be tested 4 times during this experiment.</strong></p>","0","html-button-response","24","114673","0.0-3.1-0.1","54742","List2A","white","man","","","","","","","","","","","","",""
"3271.100000023842","<img src=""portrait/WW2.jpg""style=""height:400px;""></img>","3","html-button-response","25","118952","0.0-3.1-1.1","54742","List2A","white","man","","true","3","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","26","120465","0.0-3.1-2.1-0.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"3347.8000000715256","<img src=""portrait/BW2.jpg""style=""height:400px;""></img>","2","html-button-response","27","123822","0.0-3.1-4.1","54742","List2A","white","man","","true","2","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","28","125332","0.0-3.1-5.1-0.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"2124.1999999284744","<img src=""portrait/BW1.jpg""style=""height:400px;""></img>","0","html-button-response","29","127469","0.0-3.1-7.1","54742","List2A","white","man","","true","0","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","30","128977","0.0-3.1-8.1-0.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"2173.3000000715256","<img src=""portrait/WM1.jpg""style=""height:400px;""></img>","6","html-button-response","31","131160","0.0-3.1-10.1","54742","List2A","white","man","","true","6","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","32","132668","0.0-3.1-11.1-0.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"1926.7000000476837","<img src=""portrait/BM2.jpg""style=""height:400px;""></img>","5","html-button-response","33","134607","0.0-3.1-13.1","54742","List2A","white","man","","true","5","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","34","136119","0.0-3.1-14.1-0.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"2400.7999999523163","<img src=""portrait/BM1.jpg""style=""height:400px;""></img>","4","html-button-response","35","138529","0.0-3.1-16.1","54742","List2A","white","man","","true","4","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","36","140040","0.0-3.1-17.1-0.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"1804.8000000715256","<img src=""portrait/WM2.jpg""style=""height:400px;""></img>","7","html-button-response","37","141859","0.0-3.1-19.1","54742","List2A","white","man","","true","7","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","38","143367","0.0-3.1-20.1-0.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"1919.5","<img src=""portrait/WW1.jpg""style=""height:400px;""></img>","1","html-button-response","39","145300","0.0-3.1-22.1","54742","List2A","white","man","","true","1","","","","","","","","","",""
"null","CORRECT","","html-keyboard-response","40","146812","0.0-3.1-23.1-0.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"1434.1000000238419","<p>You got 8 out of 8 right first time. Press Continue.</p>","0","html-button-response","41","148258","0.0-3.1-25.1","54742","List2A","white","man","","","","","","","","","","","","",""
"8978.299999952316","<p>In this experiment, you will view photographs of the people from the memory game interacting.</p><p>By using the <strong>exact</strong> phrase given <i>after</i> the photograph appears and recalling the correct names of the people in the photographs, form a sentence describing the interaction. You do not need to capitalise names.</p><p>Type your answer in the space provided. Please complete every sentence before moving onto the next trial.</p><p>You will only have a few seconds to memorise each given photograph and phrase before you can respond, so try your best to focus.</p><p>An example is given below. Press 'Continue' when you are ready.</p><img src='img/speaking_example.jpg' style='width:800px;height:460px;''></img>","0","html-button-response","42","158250","0.0-4.0","54742","List2A","white","man","","","","","","","","","","","","",""
"2196.899999976158","<p>Before the experiment starts, you will watch two example trials. Press 'Continue'.</p>","0","html-button-response","43","161453","0.0-5.0","54742","List2A","white","man","","","","","","","","","","","","",""
"null","<img src='img/play_eg.gif' style='height:400px;''></img>","","html-keyboard-response","44","164466","0.0-6.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"null","<p>is playing with</p>","","html-keyboard-response","45","166483","0.0-7.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"4018.1999999284744","<p><b>Answer:</b> jane is playing with ruth</p>","0","html-button-response","46","170505","0.0-8.0","54742","List2A","white","man","","","","","","","","","","","","",""
"null","<img src='img/dance_eg.gif' style='height:400px;''></img>","","html-keyboard-response","47","173515","0.0-9.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"null","<p>is being entertained by</p>","","html-keyboard-response","48","175523","0.0-10.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"1222","<p><b>Answer:</b> fred is being entertained by mike</p>","0","html-button-response","49","176751","0.0-11.0","54742","List2A","white","man","","","","","","","","","","","","",""
"1123.1999999284744","<p>Ready to start the experiment?</p><br><p><strong>Remember to describe the picture using a full sentence,</strong></p><p><strong>that combines the names of the people with the <i>exact</i> phrase given.</strong></p><p><strong>To receive full payment you must do this correctly.</strong></p><p><strong> You do not need to capitalise names or use punctuation.</strong></p><br><p>Press 'Continue' to begin.</p>","0","html-button-response","50","178883","0.0-12.0","54742","List2A","white","man","","","","","","","","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","51","180391","0.0-13.0-0.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"null","<img src=""stim_listA/greet6.gif""style=""height:400px;""></stim_listA>","","html-keyboard-response","52","182408","0.0-13.0-1.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"null","is being greeted by","","html-keyboard-response","53","184415","0.0-13.0-2.0","54742","List2A","white","man","","","","null","","","","","","","","",""
"3343.2999999523163","","","survey-text","54","187795","0.0-13.0-3.0","54742","List2A","white","man","","","","","{""Q0"":""Luke""}","<img src=""stim_listA/greet6.gif""style=""height:400px;""></stim_listA>","is being greeted by","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","55","188303","0.0-13.0-0.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"null","<img src=""stim_listA/oppose5.gif""style=""height:400px;""></stim_listA>","","html-keyboard-response","56","190312","0.0-13.0-1.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"null","is opposing","","html-keyboard-response","57","192318","0.0-13.0-2.1","54742","List2A","white","man","","","","null","","","","","","","","",""
"2313.5","","","survey-text","58","194647","0.0-13.0-3.1","54742","List2A","white","man","","","","","{""Q0"":""Mike""}","<img src=""stim_listA/oppose5.gif""style=""height:400px;""></stim_listA>","is opposing","","","","","",""
"null","<div style=""font-size:60px;"">+</div>","","html-keyboard-response","59","195157","0.0-13.0-0.2","54742","List2A","white","man","","","","null","","","","","","","","",""
