rt,stimulus,button_pressed,choices,ChosenStimulus,trial_type,trial_index,time_elapsed,internal_node_id,subject_id,study_id,session_id,subject,list,ppt_gender,url,key_press,sentence_type,verb,test_part,responses,question_order,left_part,right_part,name_order
7193,Welcome to the experiment. Press Continue to begin.,0,Continue,Continue,html-button-response,0,7225,0.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23659.900000095367,NA,NA,NA,NA,external-html,1,32231,0.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,consent.html,NA,NA,NA,NA,NA,NA,NA,NA,NA
88495.80000007153,"<p>Welcome.</p><p>In this experiment we will ask you to imagine people's motivations for saying sentences.</p><p>Each trial will begin with a sentence that somebody might say to describe an event involving two different people.</p><p>For instance, someone might say <em>Harry is being recruited by Molly</em></p><p>We want you to think about which of those two people (Molly and Harry) the speaker identifies more with. For instance, why did the speaker say <em>Harry is being recruited by Molly</em> rather than <em> Molly is recruiting Harry</em>? Might that mean that the speaker is socially closer to one of the two characters?</p><p>After you have read the sentence, you will rate on a scale which of the two characters the speaker identifies more with.</p><p>You will give your answer by clicking a button on a rating scale.</p><p>Sometimes there will also be catch questions designed to make sure that you are paying attention, which ask about a different topic.</p><p>To do this task, you will have to use your imagination to think about and visualise the events, and how the speaker might relate to the characters.</p><br><p>Ready?</p>",0,Continue,Continue,html-button-response,2,120733,0.0-2.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300974.10000002384,"<p>Before the experiment starts, we will show you an example of how you will answer the questions. Press 'Continue'.</p>",0,Continue,Continue,html-button-response,3,422711,0.0-3.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says <br><em>Samuel is dining with Frank</em>,NA,NA,NA,html-keyboard-response,4,425719,0.0-4.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NA,NA,NA,NA,NA,NA,NA,NA
16617.800000071526,<img src='img/Example-trial.jpg' style='height:550px;''></img>,0,Continue,Continue,html-button-response,5,442340,0.0-5.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2450,<p>Ready to start the experiment?</p><br><p><strong>Remember to give an answer by clicking a button on the rating scale.</strong></p><p>Press 'Continue' to begin.</p>,0,Continue,Continue,html-button-response,6,445793,0.0-6.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
null,Somebody says<br><em>Fred is flirting with Luke</em>,NA,NA,NA,html-keyboard-response,7,448825,0.0-7.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is flirting with NAME2,flirt_active,sentence,NA,NA,NA,NA,NA
20247.800000071526,NA,NA,NA,NA,survey-likert-extra-labels,8,469079,0.0-7.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Fred is flirting with Luke</em>,flirt_active,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Luke than Fred,The speaker identifies more with<br>Fred than Luke,right_to_left
null,Somebody says<br><em>Dave is looking at Ruth</em>,NA,NA,NA,html-keyboard-response,9,471098,0.0-8.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is looking at NAME2,look_active,sentence,NA,NA,NA,NA,NA
4333.100000023842,NA,NA,NA,NA,survey-likert-extra-labels,10,475436,0.0-8.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Dave is looking at Ruth</em>,look_active,rating_volition,"{""Q0"":4}",[0],The speaker identifies more with <br>Ruth than Dave,The speaker identifies more with<br>Dave than Ruth,right_to_left
null,Somebody says<br><em>Jane is copying Beth</em>,NA,NA,NA,html-keyboard-response,11,477445,0.0-9.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is copying NAME2,copy_active,sentence,NA,NA,NA,NA,NA
4748.100000023842,NA,NA,NA,NA,survey-likert-extra-labels,12,482197,0.0-9.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Jane is copying Beth</em>,copy_active,rating_volition,"{""Q0"":0}",[0],The speaker identifies more with <br>Jane than Beth,The speaker identifies more with<br>Beth than Jane,left_to_right
null,Somebody says<br><em>Ruth is being kissed by Fred</em>,NA,NA,NA,html-keyboard-response,13,484203,0.0-10.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is being kissed by NAME2,kiss_passive,sentence,NA,NA,NA,NA,NA
4658,NA,NA,NA,NA,survey-likert-extra-labels,14,488864,0.0-10.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Ruth is being kissed by Fred</em>,kiss_passive,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Fred than Ruth,The speaker identifies more with<br>Ruth than Fred,right_to_left
null,Somebody says<br><em>Luke is being touched by Kate</em>,NA,NA,NA,html-keyboard-response,15,490878,0.0-11.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is being touched by NAME2,touch_passive,sentence,NA,NA,NA,NA,NA
5235.899999976158,NA,NA,NA,NA,survey-likert-extra-labels,16,496118,0.0-11.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Luke is being touched by Kate</em>,touch_passive,rating_volition,"{""Q0"":4}",[0],The speaker identifies more with <br>Kate than Luke,The speaker identifies more with<br>Luke than Kate,right_to_left
null,Somebody says<br><em>Beth is being hugged by Ruth</em>,NA,NA,NA,html-keyboard-response,17,498127,0.0-12.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is being hugged by NAME2,hug_passive,sentence,NA,NA,NA,NA,NA
3409.7000000476837,NA,NA,NA,NA,survey-likert-extra-labels,18,501540,0.0-12.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Beth is being hugged by Ruth</em>,hug_passive,rating_volition,"{""Q0"":1}",[0],The speaker identifies more with <br>Beth than Ruth,The speaker identifies more with<br>Ruth than Beth,left_to_right
null,Somebody says<br><em>Fred is being seduced by Beth</em>,NA,NA,NA,html-keyboard-response,19,503551,0.0-13.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is being seduced by NAME2,seduce_passive,sentence,NA,NA,NA,NA,NA
2119,NA,NA,NA,NA,survey-likert-extra-labels,20,505673,0.0-13.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Fred is being seduced by Beth</em>,seduce_passive,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Beth than Fred,The speaker identifies more with<br>Fred than Beth,right_to_left
null,Somebody says<br><em>Mike and Jane are fighting with each other</em>,NA,NA,NA,html-keyboard-response,21,507691,0.0-14.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 and NAME2 are fighting with each other,fight_conjoined,sentence,NA,NA,NA,NA,NA
3811.899999976158,NA,NA,NA,NA,survey-likert-extra-labels,22,511506,0.0-14.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Mike and Jane are fighting with each other</em>,fight_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Mike than Jane,The speaker identifies more with<br>Jane than Mike,left_to_right
null,Somebody says<br><em>Fred and Kate are playing with each other</em>,NA,NA,NA,html-keyboard-response,23,513521,0.0-15.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 and NAME2 are playing with each other,play_conjoined,sentence,NA,NA,NA,NA,NA
2910.4000000953674,NA,NA,NA,NA,survey-likert-extra-labels,24,516435,0.0-15.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Fred and Kate are playing with each other</em>,play_conjoined,rating_volition,"{""Q0"":3}",[0],The speaker identifies more with <br>Kate than Fred,The speaker identifies more with<br>Fred than Kate,right_to_left
null,Somebody says<br><em>Kate is feeding Luke,NA,NA,NA,html-keyboard-response,25,518440,0.0-16.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,W3 is feeding M1,feed,sentence,NA,NA,NA,NA,NA
15200.100000023842,NA,NA,NA,NA,survey-likert-extra-labels,26,533643,0.0-16.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Kate is feeding Luke,feed,rating_volition,"{""Q0"":2}",[0],Kate cooked for Luke,Luke cooked for Kate,NA
null,Somebody says<br><em>Fred is hiring Ruth,NA,NA,NA,html-keyboard-response,27,535656,0.0-17.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,M3 is hiring W1,hire,sentence,NA,NA,NA,NA,NA
9158.199999928474,NA,NA,NA,NA,survey-likert-extra-labels,28,544818,0.0-17.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Fred is hiring Ruth,hire,rating_volition,"{""Q0"":2}",[0],Fred is employing Ruth,Ruth is employing Fred,NA
null,Somebody says<br><em>Fred is being greeted by Mike</em>,NA,NA,NA,html-keyboard-response,29,546824,0.0-18.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is being greeted by NAME2,greet_passive,sentence,NA,NA,NA,NA,NA
8293.100000023842,NA,NA,NA,NA,survey-likert-extra-labels,30,555120,0.0-18.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Fred is being greeted by Mike</em>,greet_passive,rating_volition,"{""Q0"":2}",[0],The speaker identifies more with <br>Fred than Mike,The speaker identifies more with<br>Mike than Fred,left_to_right
null,Somebody says<br><em>Mike is posing for Dave,NA,NA,NA,html-keyboard-response,31,557124,0.0-19.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,M2 is posing for M4,pose,sentence,NA,NA,NA,NA,NA
4724.100000023842,NA,NA,NA,NA,survey-likert-extra-labels,32,561851,0.0-19.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Mike is posing for Dave,pose,rating_volition,"{""Q0"":1}",[0],Mike is modelling for Dave,Dave is modelling for Mike,NA
null,Somebody says<br><em>Kate is being shouted at by Jane</em>,NA,NA,NA,html-keyboard-response,33,563860,0.0-20.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is being shouted at by NAME2,shout_passive,sentence,NA,NA,NA,NA,NA
4774.700000047684,NA,NA,NA,NA,survey-likert-extra-labels,34,568638,0.0-20.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Kate is being shouted at by Jane</em>,shout_passive,rating_volition,"{""Q0"":5}",[0],The speaker identifies more with <br>Jane than Kate,The speaker identifies more with<br>Kate than Jane,right_to_left
null,Somebody says<br><em>Mike is being copied by Kate</em>,NA,NA,NA,html-keyboard-response,35,570651,0.0-21.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is being copied by NAME2,copy_passive,sentence,NA,NA,NA,NA,NA
2312.5,NA,NA,NA,NA,survey-likert-extra-labels,36,572966,0.0-21.0-1.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,NA,Somebody says<br><em>Mike is being copied by Kate</em>,copy_passive,rating_volition,"{""Q0"":2}",[0],The speaker identifies more with <br>Mike than Kate,The speaker identifies more with<br>Kate than Mike,left_to_right
null,Somebody says<br><em>Mike is shouting at Jane</em>,NA,NA,NA,html-keyboard-response,37,574972,0.0-22.0-0.0,anomymised,6564584152624795c40b73cb,6564bdb0c02e5ee1d20a6aa3,52193,1A,woman,NA,null,NAME1 is shouting at NAME2,shout_active,sentence,NA,NA,NA,NA,NA
